,MWP,GLON,GLAT,Disp,MajAxis,MinAxis,Reff,e_Reff,theta,e_theta,Ecc,HR2,HR3,RelFlag,HierFlag,IDDR1,IDA14,Dist,IDCW,Simbad,_RA.icrs,_DE.icrs
2G0398673+0064633,2G0398673+0064633,39.8674,0.6463,0.25,0.39,0.33,0.36,0.14,1,95,0.51,0.2,0.16,R,,1G039868+006467,G039.864+00.645,17.6,,Simbad,285.4562,6.4655
2G3311717-0046070,2G3311717-0046070,331.1717,-0.4607,0.12,0.51,0.33,0.43,0.1,4,67,0.76,0.19,0.19,R,,1G331172-004591,G331.172-00.460,,,Simbad,243.0359,-51.9709
2G0126322+0007098,2G0126322+0007098,12.6323,0.071,0.1,0.27,0.2,0.24,0.06,38,79,0.65,0.23,0.17,R,,1G012631+000707,G012.629+00.070,,,Simbad,273.22,-17.9507
2G0428327-0015941,2G0428327-0015941,42.8327,-0.1594,0.37,1.21,1.03,1.12,0.47,19,96,0.53,0.49,0.45,R,,1G042834-001579,G042.834-00.157,,N84,Simbad,287.553,8.7288
2G3063182-0035644,2G3063182-0035644,306.3182,-0.3564,0.52,1.09,0.97,1.03,0.27,29,95,0.46,0.25,0.31,R,,1G306321-003550,G306.321-00.358,8.9,,Simbad,200.3431,-63.0312
2G3127609+0007162,2G3127609+0007162,312.761,0.0716,0.3,0.75,0.55,0.66,0.2,43,132,0.69,0.27,0.24,R,,1G312760+000734,G312.764+00.067,,S125,Simbad,213.617,-61.2056
2G0498402+0036472,2G0498402+0036472,49.8402,0.3647,0.17,0.32,0.26,0.29,0.15,168,102,0.56,0.07,0.44,R,,1G049841+003647,G049.840+00.367,10.8,,Simbad,290.4179,15.1734
2G3375947-0036641,2G3375947-0036641,337.5948,-0.3664,0.09,0.29,0.28,0.29,0.08,4,79,0.29,0.17,0.34,R,,,G337.595-00.366,,,Simbad,249.8586,-47.3011
2G3315381-0030895,2G3315381-0030895,331.5381,-0.309,0.09,0.34,0.25,0.3,0.15,7,76,0.67,0.23,0.09,R,,1G331539-003084,G331.538-00.308,,,Simbad,243.2996,-51.6095
2G0037405+0002309,2G0037405+0002309,3.7405,0.0231,0.07,0.22,0.2,0.21,0.08,8,100,0.43,0.32,0.19,R,,,G003.741+00.023,,CN47,Simbad,268.5452,-25.7146
2G3159795-0018124,2G3159795-0018124,315.9795,-0.1812,0.37,0.89,0.79,0.84,0.3,27,109,0.47,0.33,0.29,R,,1G315980-001816,G315.982-00.184,,S115,Simbad,219.9477,-60.2789
2G3459283-0012793,2G3459283-0012793,345.9283,-0.1279,0.05,0.29,0.26,0.27,0.06,19,71,0.41,0.46,0.6,R,,1G345929-001302,G345.927-00.129,,,Simbad,256.9336,-40.6888
2G3498122-0059828,2G3498122-0059828,349.8123,-0.5983,1.32,4.12,3.54,3.84,0.77,39,120,0.51,0.36,0.59,R,,1G349814-005951,G349.814-00.625,,CS116 S1,Simbad,260.3571,-37.8108
2G0110236-0036715,2G0110236-0036715,11.0237,-0.3671,0.07,0.21,0.17,0.19,0.06,167,113,0.6,0.19,0.17,R,,,G011.023-00.369,,,Simbad,272.8091,-19.5718
2G0397291-0039358,2G0397291-0039358,39.7291,-0.3936,0.3,0.48,0.35,0.42,0.18,175,128,0.67,0.18,0.19,R,,1G039728-003965,G039.728-00.396,9.1,,Simbad,286.3221,5.8659
2G3267868-0055519,2G3267868-0055519,326.7868,-0.5552,0.39,2.68,2.0,2.36,0.45,80,110,0.67,0.12,0.33,R,D,1G326787-005511,G326.786-00.552,,S78,Simbad,237.5786,-54.9189
2G0036650-0009805,2G0036650-0009805,3.665,-0.0981,0.09,0.27,0.21,0.24,0.06,62,98,0.64,0.17,0.32,R,,,G003.664-00.098,,CN44,Simbad,268.6189,-25.8411
2G0150148+0005572,2G0150148+0005572,15.0149,0.0557,0.58,2.28,1.86,2.08,0.37,43,94,0.58,0.2,0.49,R,P,1G015014+000570,G015.010+00.049,,N16 N17,Simbad,274.4219,-15.8638
2G0263289-0007072,2G0263289-0007072,26.329,-0.0707,0.1,0.75,0.58,0.67,0.2,47,79,0.64,0.39,0.33,R,,1G026329-000689,G026.330-00.071,,N42,Simbad,279.9012,-5.9062
2G2993266-0030612,2G2993266-0030612,299.3267,-0.3061,0.46,0.37,0.29,0.34,0.17,18,88,0.62,0.07,0.23,R,,,G299.326-00.311,,,Simbad,184.9104,-62.9551
2G0143512-0064262,2G0143512-0064262,14.3513,-0.6426,0.37,0.61,0.54,0.57,0.29,165,124,0.47,0.07,0.09,C,,1G014352-006431,G014.351-00.642,,,Simbad,274.7352,-16.779
2G3087531+0054978,2G3087531+0054978,308.7531,0.5498,0.34,1.09,0.81,0.96,0.24,60,69,0.67,0.16,0.22,R,D,1G308751+005498,G308.747+00.547,5.3,S144,Simbad,205.2369,-61.7611
2G3136696-0010230,2G3136696-0010230,313.6697,-0.1023,0.7,1.51,1.05,1.3,0.54,25,64,0.72,0.26,0.19,R,,1G313670-001046,G313.671-00.105,,,Simbad,215.5133,-61.0707
2G3203777+0017259,2G3203777+0017259,320.3778,0.1726,0.09,0.51,0.31,0.42,0.07,164,55,0.79,0.2,0.5,R,,1G320377+001728,G320.376+00.172,,,Simbad,227.2695,-57.9593
2G0332627+0006525,2G0332627+0006525,33.2627,0.0653,0.11,0.39,0.34,0.37,0.11,162,89,0.49,0.05,0.11,C,,1G033263+000655,G033.263+00.066,7.1,,Simbad,282.9522,0.3242
2G3533525-0013962,2G3533525-0013962,353.3525,-0.1396,0.25,1.61,1.49,1.55,0.3,32,99,0.38,0.5,0.59,R,,1G353353-001413,G353.350-00.143,,CS57,Simbad,262.347,-34.6222
2G3030470+0016625,2G3030470+0016625,303.047,0.1663,0.44,2.21,1.51,1.9,0.29,47,82,0.73,,0.14,C,,1G303056+001645,G303.058+00.165,,,Simbad,193.1104,-62.7052
2G0517552+0070118,2G0517552+0070118,51.7553,0.7012,1.76,2.01,1.3,1.69,0.96,94,101,0.76,0.13,0.16,R,,1G051766+007106,G051.779+00.713,10.7,,Simbad,291.0498,17.0206
2G0458214-0029148,2G0458214-0029148,45.8214,-0.2915,0.41,0.89,0.59,0.75,0.36,39,57,0.75,0.27,0.42,R,,1G045822-002892,G045.825-00.291,6.6,,Simbad,289.0797,11.3153
2G3031647+0042579,2G3031647+0042579,303.1648,0.4258,0.17,0.53,0.45,0.49,0.15,83,104,0.52,0.18,0.23,R,,1G303165+004258,G303.163+00.422,,,Simbad,193.3629,-62.445
2G3323472-0042658,2G3323472-0042658,332.3473,-0.4266,0.24,0.42,0.34,0.38,0.15,13,134,0.61,0.12,0.09,C,,1G332347-004274,G332.347-00.427,,,Simbad,244.3663,-51.135
2G0119284-0009578,2G0119284-0009578,11.9285,-0.0958,0.15,0.31,0.23,0.27,0.07,142,135,0.67,0.09,0.11,C,,,,,,Simbad,273.0181,-18.6481
2G3180579-0044873,2G3180579-0044873,318.0579,-0.4487,0.19,0.42,0.38,0.4,0.25,12,106,0.42,0.15,0.49,R,,1G318058-004489,G318.059-00.450,,,Simbad,223.9216,-59.6209
2G3281431+0018876,2G3281431+0018876,328.1432,0.1888,0.86,0.82,0.55,0.7,0.45,31,95,0.74,0.05,0.09,C,,,G328.146+00.185,,,Simbad,238.5728,-53.4853
2G3484089+0014895,2G3484089+0014895,348.409,0.1489,0.12,0.62,0.55,0.59,0.11,42,87,0.45,0.27,0.38,R,,1G348407+001484,G348.409+00.148,,S5,Simbad,258.5509,-38.5258
2G3296055-0051886,2G3296055-0051886,329.6055,-0.5189,0.06,0.4,0.31,0.36,0.03,160,101,0.63,,0.16,C,,,G329.607-00.520,,,Simbad,241.1997,-53.0701
2G3285736-0055654,2G3285736-0055654,328.5737,-0.5565,0.16,0.76,0.68,0.72,0.1,3,128,0.44,0.24,0.38,R,,1G328574-005568,G328.574-00.562,3.4,,Simbad,239.938,-53.7777
2G0564500-0048576,2G0564500-0048576,56.45,-0.4858,0.22,0.61,0.49,0.55,0.2,23,128,0.59,0.18,0.1,R,,1G056450-004861,G056.449-00.486,,,Simbad,294.5363,20.5644
2G3044632-0002005,2G3044632-0002005,304.4632,-0.0201,0.54,0.96,0.74,0.86,0.3,39,98,0.64,0.33,0.47,R,,1G304463-000217,G304.465-00.023,,S160,Simbad,196.2169,-62.8519
2G3394854+0008662,2G3394854+0008662,339.4854,0.0866,0.3,0.73,0.62,0.68,0.25,173,122,0.53,0.22,0.24,R,,1G339486+000872,G339.486+00.087,,,Simbad,251.1731,-45.5808
2G0105997-0038048,2G0105997-0038048,10.5998,-0.3805,0.07,0.52,0.38,0.46,0.06,79,68,0.7,,0.33,C,,1G010600-003806,G010.596-00.381,5.0,,Simbad,272.6044,-19.9496
2G3212678+0032015,2G3212678+0032015,321.2679,0.3201,0.15,0.6,0.53,0.57,0.19,27,93,0.47,0.23,0.14,R,,1G321268+003198,,,,Simbad,228.559,-57.3775
2G0495357+0020551,2G0495357+0020551,49.5357,0.2055,0.2,0.38,0.27,0.33,0.23,173,75,0.72,0.26,0.1,R,,1G049536+002056,G049.535+00.206,,,Simbad,290.4149,14.8298
2G3238048+0002065,2G3238048+0002065,323.8049,0.0207,0.85,1.46,1.17,1.32,0.52,52,123,0.6,0.28,0.47,R,,1G323803+000231,G323.806+00.020,,S85,Simbad,232.7427,-56.2444
2G3310081-0015071,2G3310081-0015071,331.0082,-0.1507,0.45,2.71,2.5,2.6,0.51,37,113,0.38,0.47,0.61,R,,1G331011-001485,G331.020-00.143,,S64,Simbad,242.4996,-51.8552
2G3507696-0007643,2G3507696-0007643,350.7697,-0.0764,0.03,0.33,0.26,0.3,0.03,33,63,0.6,,0.33,C,,1G350769-000781,G350.769-00.079,,CS96,Simbad,260.5015,-36.7265
2G0029616-0005086,2G0029616-0005086,2.9617,-0.0509,0.09,0.42,0.38,0.4,0.15,17,99,0.46,0.35,0.33,R,,1G002962-000501,G002.961-00.053,,CN36,Simbad,268.1762,-26.4232
2G2993444-0026534,2G2993444-0026534,299.3445,-0.2653,0.35,1.34,0.96,1.17,0.16,22,108,0.7,,0.16,C,,1G299342-002685,G299.349-00.267,4.2,,Simbad,184.9602,-62.9168
2G3269599-0057718,2G3269599-0057718,326.96,-0.5772,0.14,0.69,0.6,0.65,0.12,6,103,0.51,0.15,0.2,R,,1G326959-005761,G326.960-00.578,,,Simbad,237.8369,-54.8273
2G3320002-0011482,2G3320002-0011482,332.0003,-0.1148,0.17,0.62,0.53,0.58,0.16,68,104,0.52,0.24,0.3,R,,1G332001-001168,G332.002-00.115,,,Simbad,243.6232,-51.1506
2G0404215-0005285,2G0404215-0005285,40.4215,-0.0529,0.57,1.16,0.98,1.07,0.44,51,102,0.53,0.32,0.42,R,,1G040421-000493,G040.418-00.055,,N77,Simbad,286.3374,6.6374
2G0230122-0041968,2G0230122-0041968,23.0123,-0.4197,0.09,0.31,0.27,0.29,0.06,1,100,0.46,0.24,0.19,R,,1G023012-004196,G023.011-00.421,,,Simbad,278.6772,-9.0126
2G3545878+0000560,2G3545878+0000560,354.5879,0.0056,0.17,1.19,1.12,1.16,0.22,32,109,0.36,0.55,0.64,R,,1G354588+000038,G354.589+00.005,,CS47,Simbad,263.0203,-33.5104
2G3471961-0009438,2G3471961-0009438,347.1962,-0.0944,0.16,0.5,0.39,0.45,0.21,67,85,0.62,0.2,0.23,R,,1G347196-000966,G347.194-00.095,,S9,Simbad,257.8859,-39.65
2G0238802-0034954,2G0238802-0034954,23.8803,-0.3495,0.1,0.49,0.37,0.43,0.23,166,65,0.65,0.27,0.13,R,,1G023881-003497,G023.880-00.350,,,Simbad,279.0181,-8.2096
2G3533075-0028340,2G3533075-0028340,353.3075,-0.2834,0.03,0.48,0.27,0.39,0.02,65,4,0.84,,0.15,C,,1G353308-002838,G353.308-00.285,,,Simbad,262.4626,-34.7391
2G3548945-0022274,2G3548945-0022274,354.8945,-0.2228,0.05,0.32,0.2,0.27,0.04,106,93,0.78,,0.18,C,,1G354895-002223,G354.896-00.222,,CS41,Simbad,263.4501,-33.3779
2G3306743-0038856,2G3306743-0038856,330.6743,-0.3886,0.18,1.21,0.77,1.01,0.29,63,81,0.77,0.5,0.47,R,,1G330676-003859,G330.673-00.388,4.0,S67,Simbad,242.3623,-52.2564
2G3126749+0004753,2G3126749+0004753,312.675,0.0475,0.23,1.53,1.32,1.43,0.23,17,109,0.51,0.32,0.51,R,,1G312675+000465,G312.675+00.048,,S128,Simbad,213.4631,-61.2555
2G3360295-0081987,2G3360295-0081987,336.0296,-0.8199,0.14,0.62,0.5,0.56,0.16,17,111,0.6,0.3,0.28,R,,1G336028-008195,G336.026-00.817,,,Simbad,248.7923,-48.7663
2G0232994-0028212,2G0232994-0028212,23.2995,-0.2821,0.07,0.31,0.26,0.29,0.13,97,145,0.53,0.1,0.2,R,,,G023.299-00.281,,,Simbad,278.6874,-8.6943
2G0351392+0080161,2G0351392+0080161,35.1392,0.8016,0.11,0.41,0.28,0.35,0.06,178,94,0.73,,0.16,C,D,1G035144+008043,G035.136+00.805,,,Simbad,283.1525,2.3299
2G3414356+0038403,2G3414356+0038403,341.4357,0.384,0.3,0.75,0.57,0.66,0.21,176,84,0.65,0.16,0.34,R,,1G341436+003834,G341.438+00.383,,,Simbad,252.6278,-43.9001
2G0453851-0071547,2G0453851-0071547,45.3852,-0.7155,0.91,1.74,1.47,1.61,0.75,17,101,0.54,0.46,0.44,R,,1G045387-007155,G045.391-00.725,8.0,N95,Simbad,289.2546,10.7317
2G3277017+0057211,2G3277017+0057211,327.7018,0.5721,0.7,1.67,1.16,1.43,0.49,23,85,0.72,0.31,0.36,R,,1G327699+005702,G327.714+00.576,,S72,Simbad,237.591,-53.467
2G3351959-0038360,2G3351959-0038360,335.1959,-0.3836,0.11,0.39,0.35,0.37,0.13,81,80,0.48,0.15,0.17,R,,1G335196-003842,G335.195-00.385,,,Simbad,247.4414,-49.0785
2G0496993-0016204,2G0496993-0016204,49.6994,-0.162,0.4,1.79,1.69,1.74,0.31,43,128,0.32,0.51,0.58,R,,1G049699-001620,G049.690-00.166,5.4,N102 N103,Simbad,290.83,14.8009
2G0181899-0039321,2G0181899-0039321,18.19,-0.3932,0.72,2.04,1.5,1.79,0.55,59,86,0.67,0.37,0.56,R,,1G018193-004002,G018.187-00.415,3.6,N21,Simbad,276.3747,-13.2732
2G3331357-0038676,2G3331357-0038676,333.1357,-0.3868,0.17,0.51,0.32,0.43,0.12,12,73,0.78,0.06,0.14,R,,1G333136-003874,G333.134-00.390,,,Simbad,245.213,-50.5542
2G3289984+0095835,2G3289984+0095835,328.9985,0.9584,0.09,0.73,0.63,0.68,0.13,40,78,0.51,,0.36,C,,1G328998+009559,G328.999+00.954,,,Simbad,238.8492,-52.3468
2G3015499+0029716,2G3015499+0029716,301.55,0.2972,0.51,1.06,0.89,0.98,0.29,174,106,0.54,0.28,0.37,R,,1G301551+002993,G301.550+00.301,,S168,Simbad,189.8614,-62.5424
2G0411291-0055587,2G0411291-0055587,41.1292,-0.5559,0.27,1.09,0.91,1.0,0.36,42,84,0.56,0.34,0.28,R,,1G041132-005548,G041.128-00.559,6.4,,Simbad,287.115,7.0345
2G3174608-0034701,2G3174608-0034701,317.4608,-0.347,0.32,1.71,1.58,1.65,0.28,26,96,0.37,0.32,0.46,R,,1G317463-003466,G317.466-00.350,,S106,Simbad,222.7743,-59.7998
2G3344298+0032943,2G3344298+0032943,334.4299,0.3294,0.48,0.41,0.33,0.37,0.18,167,103,0.6,0.18,0.17,R,,1G334429+003344,G334.427+00.331,,,Simbad,245.845,-49.1323
2G3477699+0014587,2G3477699+0014587,347.77,0.1459,0.44,1.42,1.27,1.35,0.28,81,104,0.46,0.08,0.15,R,,1G347784+001552,G347.770+00.144,,,Simbad,258.0728,-39.0449
2G0502691-0043579,2G0502691-0043579,50.2692,-0.4358,0.21,0.3,0.23,0.26,0.11,28,73,0.64,0.18,0.12,R,,1G050269-004353,G050.270-00.435,,,Simbad,291.3589,15.1732
2G3532799-0047782,2G3532799-0047782,353.28,-0.4778,0.29,1.1,0.87,0.99,0.39,33,114,0.61,0.2,0.4,R,,1G353280-004780,G353.277-00.480,,CS58,Simbad,262.6418,-34.8691
2G0239807-0010951,2G0239807-0010951,23.9808,-0.1095,0.07,0.36,0.32,0.34,0.05,36,116,0.49,0.16,0.25,R,,1G023982-001096,G023.980-00.110,10.7,,Simbad,278.8496,-8.01
2G0058066-0042326,2G0058066-0042326,5.8067,-0.4233,0.08,0.27,0.19,0.23,0.06,60,39,0.7,,0.15,C,,,G005.806-00.423,,,Simbad,270.1134,-24.1506
2G3141868+0027239,2G3141868+0027239,314.1869,0.2724,1.08,2.17,1.56,1.89,0.71,15,75,0.7,0.1,0.43,R,,1G314188+002795,G314.184+00.265,5.9,S118,Simbad,216.24,-60.5394
2G3381041+0002124,2G3381041+0002124,338.1042,0.0213,0.1,0.36,0.32,0.34,0.07,43,108,0.46,0.2,0.29,R,,1G338104+000214,G338.106+00.020,,,Simbad,249.9309,-46.6628
2G3277736-0065770,2G3277736-0065770,327.7737,-0.6577,0.71,2.21,2.01,2.11,0.59,17,106,0.42,0.2,0.22,R,,1G327776-006555,G327.769-00.656,,,Simbad,239.0097,-54.3723
2G0398751-0017578,2G0398751-0017578,39.8751,-0.1758,0.11,0.36,0.28,0.32,0.07,65,92,0.61,0.11,0.35,R,,1G039874-001737,G039.873-00.177,9.0,,Simbad,286.1949,6.0955
2G3412823-0034503,2G3412823-0034503,341.2823,-0.345,0.74,2.16,1.7,1.94,0.52,33,97,0.62,0.26,0.61,R,,1G341283-003407,G341.283-00.353,,S23,Simbad,253.2761,-44.4823
2G3345243+0081588,2G3345243+0081588,334.5244,0.8159,0.69,2.0,1.77,1.89,0.44,18,140,0.46,0.47,0.32,R,,1G334525+008255,G334.521+00.818,,S44,Simbad,245.4217,-48.7221
2G3266132-0050101,2G3266132-0050101,326.6132,-0.501,0.58,2.61,1.77,2.23,0.32,64,48,0.74,,0.18,C,,1G326607-004680,,,,Simbad,237.2836,-54.985
2G3325465-0014396,2G3325465-0014396,332.5465,-0.144,0.37,1.31,0.95,1.14,0.27,47,113,0.69,0.07,0.31,R,,1G332547-001436,G332.554-00.153,,,Simbad,244.281,-50.7934
2G0299528-0081080,2G0299528-0081080,29.9528,-0.8108,0.29,0.95,0.68,0.82,0.15,2,132,0.7,0.17,0.27,R,,1G029952-008076,G029.950-00.809,,,Simbad,282.2225,-3.021
2G0138344+0018400,2G0138344+0018400,13.8344,0.184,0.34,1.28,1.21,1.24,0.3,37,108,0.32,0.12,0.29,R,,1G013841+001963,G013.833+00.182,,,Simbad,273.7189,-16.8411
2G0535477-0001400,2G0535477-0001400,53.5477,-0.014,1.18,2.72,2.18,2.47,0.76,32,93,0.6,0.31,0.39,R,,1G053551-000082,G053.541-00.011,,N115,Simbad,292.606,18.2554
2G0181388-0027791,2G0181388-0027791,18.1389,-0.2779,0.97,2.14,1.51,1.85,0.53,81,133,0.71,0.16,0.34,R,,1G018141-002783,G018.144-00.281,4.2,,Simbad,276.2455,-13.2646
2G0230370-0039752,2G0230370-0039752,23.037,-0.3975,0.25,1.9,1.67,1.79,0.2,84,122,0.48,0.16,0.36,R,,1G023041-003990,G023.041-00.399,4.6,,Simbad,278.6688,-8.9804
2G3001310-0010686,2G3001310-0010686,300.1311,-0.1069,0.48,2.14,1.46,1.83,0.45,7,77,0.73,0.26,0.3,R,,1G300134-001035,G300.134-00.100,,,Simbad,186.7134,-62.8449
2G3179347-0072052,2G3179347-0072052,317.9348,-0.7205,1.21,1.71,1.08,1.43,0.57,20,83,0.77,0.05,0.13,R,,,,,,Simbad,223.9525,-59.9189
2G3192314+0023112,2G3192314+0023112,319.2314,0.2311,0.79,1.84,1.53,1.69,0.46,79,140,0.56,0.4,0.58,R,,1G319230+002277,G319.229+00.225,,S99,Simbad,225.3182,-58.4705
2G0182351-0024610,2G0182351-0024610,18.2352,-0.2461,0.31,0.68,0.53,0.61,0.19,21,62,0.61,,0.17,C,,1G018235-002470,G018.230-00.250,,,Simbad,276.2628,-13.1646
2G0120000-0023993,2G0120000-0023993,12.0,-0.2399,0.85,1.88,1.23,1.59,0.44,51,89,0.75,0.2,0.55,R,,1G011998-002399,G011.995-00.246,,,Simbad,273.1878,-18.6546
2G3075879-0032024,2G3075879-0032024,307.5879,-0.3202,1.06,2.8,2.29,2.56,0.67,11,80,0.57,0.05,0.22,R,,,,,,Simbad,203.0958,-62.8212
2G3534113-0037651,2G3534113-0037651,353.4114,-0.3765,0.66,1.77,1.39,1.59,0.39,9,102,0.62,0.08,0.06,C,,1G353405-003705,G353.408-00.381,,CS55,Simbad,262.6268,-34.7037
2G3503308+0015205,2G3503308+0015205,350.3308,0.1521,0.27,1.62,1.1,1.39,0.23,29,67,0.73,0.14,0.08,R,,,G350.340+00.164,,CS105,Simbad,259.9542,-36.9567
2G3026317-0066810,2G3026317-0066810,302.6317,-0.6681,0.06,1.0,0.67,0.85,0.06,107,74,0.74,,0.22,C,,1G302634-006686,G302.636-00.672,,,Simbad,192.1858,-63.5383
2G0299071-0002309,2G0299071-0002309,29.9071,-0.0231,0.16,0.89,0.63,0.78,0.1,178,49,0.7,,0.21,C,,,G029.901-00.029,,,Simbad,281.4998,-2.7023
2G3472293+0001508,2G3472293+0001508,347.2294,0.0151,0.07,0.67,0.44,0.57,0.06,29,51,0.76,,0.34,C,,1G347230+000152,G347.236+00.013,,,Simbad,257.7968,-39.5585
2G0070380+0017581,2G0070380+0017581,7.0381,0.1758,0.22,0.66,0.52,0.6,0.28,18,88,0.62,0.33,0.29,R,,1G007039+001763,G007.039+00.175,,CN93,Simbad,270.2124,-22.7842
2G0144796-0000319,2G0144796-0000319,14.4797,-0.0032,0.13,0.36,0.34,0.35,0.08,32,86,0.32,0.28,0.16,R,,1G014480-000009,G014.478-00.006,,,Simbad,274.2114,-16.3628
2G0272783+0016122,2G0272783+0016122,27.2784,0.1612,0.31,0.68,0.58,0.64,0.32,36,80,0.52,0.2,0.3,R,,1G027279+001615,G027.279+00.160,12.5,,Simbad,280.1311,-4.9561
2G0522057+0075080,2G0522057+0075080,52.2057,0.7508,0.26,0.88,0.75,0.82,0.2,52,129,0.53,0.42,0.49,R,,1G052204+007513,G052.201+00.752,9.9,N111,Simbad,291.2273,17.4407
2G3314978-0049293,2G3314978-0049293,331.4979,-0.4929,0.33,0.43,0.31,0.38,0.16,38,103,0.68,0.09,0.08,C,,1G331499-004917,G331.500-00.491,,,Simbad,243.4562,-51.7707
2G0362810+0072179,2G0362810+0072179,36.281,0.7218,1.06,2.39,1.56,2.02,0.45,156,140,0.76,0.09,0.34,R,,1G036269+007047,G036.267+00.697,5.1,,Simbad,283.7448,3.3097
2G3344004-0052239,2G3344004-0052239,334.4005,-0.5224,0.13,0.46,0.38,0.43,0.14,47,108,0.57,0.38,0.26,R,,1G334401-005223,G334.400-00.523,,,Simbad,246.7499,-49.7489
2G3499991+0042796,2G3499991+0042796,349.9992,0.428,0.28,0.34,0.27,0.31,0.14,23,83,0.6,0.15,0.12,R,,,G350.001+00.429,,CS113,Simbad,259.4328,-37.0694
2G3033417-0071856,2G3033417-0071856,303.3417,-0.7186,0.16,0.63,0.56,0.59,0.21,39,105,0.45,0.38,0.34,R,,1G303341-007180,G303.342-00.718,,S165,Simbad,193.7806,-63.5874
2G3292653+0004730,2G3292653+0004730,329.2654,0.0473,0.15,0.3,0.21,0.25,0.1,20,96,0.71,0.23,0.21,R,,1G329266+000480,G329.265+00.046,,,Simbad,240.1551,-52.8688
2G3137580-0085346,2G3137580-0085346,313.758,-0.8535,0.21,0.47,0.37,0.42,0.25,1,87,0.63,0.07,0.1,C,,1G313758-008552,G313.760-00.860,,,Simbad,216.2324,-61.7442
2G3516917+0066682,2G3516917+0066682,351.6917,0.6668,1.12,2.25,1.86,2.06,0.98,60,106,0.56,0.22,0.25,R,,1G351691+006676,G351.693+00.671,,CS78,Simbad,260.3932,-35.5455
2G0596230-0022229,2G0596230-0022229,59.623,-0.2223,0.19,0.7,0.59,0.65,0.19,34,95,0.54,0.06,0.13,R,,,G059.623-00.222,,,Simbad,295.9815,23.4527
2G0437736+0005975,2G0437736+0005975,43.7737,0.0598,0.17,1.51,1.47,1.49,0.13,51,87,0.21,0.25,0.65,R,,1G043775+000606,G043.774+00.057,6.1,N90,Simbad,287.7966,9.6646
2G3217772-0064826,2G3217772-0064826,321.7772,-0.6483,0.42,0.77,0.6,0.69,0.2,22,97,0.61,0.05,0.2,R,,1G321777-006467,G321.777-00.647,,,Simbad,230.326,-57.9284
2G3482572+0048076,2G3482572+0048076,348.2572,0.4808,0.91,4.26,3.81,4.04,0.77,28,97,0.45,0.27,0.57,R,,1G348260+004774,G348.261+00.485,,S7,Simbad,258.0938,-38.4539
2G3488595-0017022,2G3488595-0017022,348.8595,-0.1702,0.09,0.41,0.38,0.4,0.06,44,93,0.41,0.2,0.25,R,,1G348860-001698,G348.858-00.167,,,Simbad,259.2169,-38.3452
2G0388396+0049795,2G0388396+0049795,38.8396,0.498,0.23,0.62,0.47,0.55,0.24,18,98,0.64,0.25,0.23,R,,1G038839+004990,G038.840+00.495,18.2,,Simbad,285.1161,5.4837
2G0434330+0051745,2G0434330+0051745,43.433,0.5175,0.07,0.46,0.37,0.42,0.04,63,74,0.59,,0.53,C,,1G043434+005189,G043.432+00.516,13.6,,Simbad,287.2253,9.5737
2G3563247-0023492,2G3563247-0023492,356.3247,-0.2349,0.1,0.39,0.28,0.34,0.08,5,142,0.7,0.2,0.33,R,,1G356325-002346,G356.325-00.234,,CS31,Simbad,264.3805,-32.1805
2G0243585+0004866,2G0243585+0004866,24.3586,0.0487,0.27,0.81,0.65,0.74,0.14,51,109,0.61,0.12,0.25,R,,1G024360+000496,G024.356+00.048,7.7,,Simbad,278.8833,-7.6018
2G3310598-0023125,2G3310598-0023125,331.0599,-0.2313,0.21,0.67,0.41,0.56,0.12,74,73,0.79,,0.17,C,,1G331057-002239,G331.057-00.229,,,Simbad,242.6497,-51.8793
2G3283522-0055723,2G3283522-0055723,328.3522,-0.5572,0.12,0.57,0.51,0.54,0.11,53,97,0.47,,0.35,C,,1G328354-005568,G328.356-00.559,,,Simbad,239.6535,-53.9223
2G0514017-0088969,2G0514017-0088969,51.4018,-0.8897,0.14,0.63,0.5,0.57,0.19,1,145,0.61,0.14,0.12,R,,1G051401-008889,G051.401-00.890,5.3,,Simbad,292.3334,15.9524
2G3514785-0047276,2G3514785-0047276,351.4786,-0.4728,0.36,1.07,0.79,0.94,0.25,41,102,0.67,0.16,0.19,R,,1G351473-004628,,,CS84,Simbad,261.4067,-36.3647
2G3335004-0027732,2G3335004-0027732,333.5005,-0.2773,0.14,1.15,1.11,1.13,0.13,36,84,0.26,0.16,0.39,R,,1G333501-002775,G333.497-00.275,,S46,Simbad,245.4969,-50.2191
2G3394769+0018088,2G3394769+0018088,339.477,0.1809,0.23,0.65,0.54,0.6,0.17,2,124,0.56,0.25,0.4,R,,1G339477+001818,G339.478+00.181,,,Simbad,251.0633,-45.5256
2G3239159+0003227,2G3239159+0003227,323.916,0.0323,0.16,0.45,0.36,0.41,0.21,92,88,0.61,0.18,0.36,R,,1G323916+000320,G323.915+00.026,,S84,Simbad,232.8947,-56.1714
2G3237415-0025097,2G3237415-0025097,323.7416,-0.251,0.08,0.51,0.48,0.5,0.06,55,50,0.31,,0.29,C,,1G323742-002493,G323.743-00.249,,,Simbad,232.9295,-56.5035
2G0309120+0016150,2G0309120+0016150,30.9121,0.1615,0.15,0.55,0.48,0.52,0.1,48,122,0.46,0.19,0.21,R,,1G030912+001614,G030.906+00.161,7.3,,Simbad,281.7944,-1.7239
