,MWP,GLON,GLAT,Disp,MajAxis,MinAxis,Reff,e_Reff,theta,e_theta,Ecc,HR2,HR3,RelFlag,HierFlag,IDDR1,IDA14,Dist,IDCW,Simbad,_RA.icrs,_DE.icrs
2G0240195+0018915,2G0240195+0018915,24.0196,0.1892,0.15,0.44,0.38,0.41,0.08,49,82,0.48,,0.24,C,,1G024019+001902,G024.020+00.190,,,Simbad,278.5999,-7.838
2G3480590+0024352,2G3480590+0024352,348.059,0.2435,0.28,0.63,0.55,0.59,0.14,69,154,0.48,0.12,0.24,R,,1G348059+002450,G348.060+00.247,,,Simbad,258.19,-38.7538
2G3354694+0002272,2G3354694+0002272,335.4694,0.0227,0.39,0.96,0.76,0.86,0.37,46,108,0.61,0.14,0.47,R,,1G335472+000230,G335.469+00.027,,,Simbad,247.2805,-48.6003
2G3224406+0096455,2G3224406+0096455,322.4406,0.9646,0.16,0.7,0.55,0.63,0.07,7,83,0.62,,0.16,C,,1G322442+009626,G322.440+00.963,,,Simbad,229.7588,-56.2118
2G0332906-0001910,2G0332906-0001910,33.2906,-0.0191,0.11,0.25,0.2,0.23,0.1,16,98,0.57,0.11,0.06,C,,,G033.288-00.018,7.1,,Simbad,283.04,0.3105
2G3121108+0031447,2G3121108+0031447,312.1109,0.3145,0.11,0.5,0.32,0.42,0.09,7,111,0.76,0.2,0.2,R,,,G312.110+00.311,5.7,,Simbad,212.1785,-61.1725
2G3038721-0037504,2G3038721-0037504,303.8721,-0.375,0.11,0.33,0.3,0.31,0.09,41,98,0.43,0.21,0.33,R,,1G303872-003748,G303.872-00.377,,,Simbad,194.9473,-63.2315
2G0124339-0003515,2G0124339-0003515,12.434,-0.0352,0.36,0.85,0.66,0.76,0.18,59,95,0.63,0.13,0.12,R,,1G012434-000294,,,,Simbad,273.218,-18.1756
2G3049137+0038007,2G3049137+0038007,304.9138,0.3801,0.3,1.0,0.76,0.89,0.17,44,75,0.65,0.05,0.2,R,,1G304911+003813,G304.909+00.378,,,Simbad,197.144,-62.4257
2G3530696+0032304,2G3530696+0032304,353.0697,0.323,1.33,4.69,3.44,4.11,0.76,5,122,0.68,0.04,0.44,R,,1G353085+003151,G353.076+00.287,,CS62,Simbad,261.6887,-34.6006
2G0173184+0039111,2G0173184+0039111,17.3185,0.3911,0.24,0.94,0.76,0.85,0.29,15,108,0.59,0.2,0.26,R,,1G017318+003905,G017.315+00.389,,,Simbad,275.2422,-13.6752
2G3405442+0012106,2G3405442+0012106,340.5443,0.1211,0.38,0.49,0.39,0.44,0.29,54,97,0.59,0.14,0.24,R,,1G340546+001178,G340.542+00.124,,,Simbad,252.11,-44.7525
2G2997749-0028581,2G2997749-0028581,299.7749,-0.2858,0.12,0.69,0.43,0.57,0.1,43,65,0.78,0.22,0.27,R,,1G299776-002838,G299.773-00.286,,S173,Simbad,185.8952,-62.9867
2G0180668-0029913,2G0180668-0029913,18.0669,-0.2991,0.05,0.3,0.23,0.27,0.05,61,72,0.67,,0.16,C,,1G018068-002989,G018.066-00.299,,,Simbad,276.2301,-13.3381
2G3280588+0038233,2G3280588+0038233,328.0588,0.3823,0.09,0.32,0.31,0.31,0.11,159,107,0.32,0.12,0.15,R,,1G328059+003823,G328.059+00.383,,,Simbad,238.257,-53.3895
2G0123913-0046282,2G0123913-0046282,12.3913,-0.4628,0.11,0.32,0.2,0.27,0.07,6,141,0.79,0.14,0.28,R,,,G012.394-00.465,,,Simbad,273.5918,-18.4178
2G0387371-0014120,2G0387371-0014120,38.7371,-0.1412,0.28,0.99,0.86,0.92,0.26,38,16,0.5,0.26,0.41,R,,1G038740-001385,G038.738-00.140,9.2,N73,Simbad,285.6398,5.1
2G3128114-0001408,2G3128114-0001408,312.8115,-0.0141,0.12,0.4,0.26,0.34,0.09,152,95,0.75,0.07,0.13,R,,,G312.812-00.015,,,Simbad,213.7729,-61.2709
2G3337250+0036573,2G3337250+0036573,333.725,0.3657,0.43,0.77,0.46,0.63,0.28,39,66,0.8,0.09,0.16,R,,1G333726+003642,G333.725+00.364,,,Simbad,245.0399,-49.6048
2G3320713+0049972,2G3320713+0049972,332.0713,0.4997,0.24,0.95,0.89,0.92,0.35,19,129,0.36,0.35,0.26,R,,1G332071+005004,G332.070+00.500,,S56,Simbad,243.0362,-50.655
2G3400512-0023264,2G3400512-0023264,340.0513,-0.2326,0.15,0.4,0.38,0.39,0.12,70,103,0.33,0.08,0.32,R,,1G340050-002321,G340.051-00.231,3.9,,Simbad,252.0431,-45.3574
2G3080808-0040004,2G3080808-0040004,308.0808,-0.4001,0.35,0.95,0.72,0.84,0.26,78,125,0.65,0.16,0.21,R,,1G308080-004027,G308.079-00.406,9.3,,Simbad,204.1889,-62.8179
2G3312626-0018387,2G3312626-0018387,331.2627,-0.1839,0.36,1.49,1.21,1.35,0.18,30,74,0.59,,0.31,C,,1G331265-001854,G331.259-00.188,,,Simbad,242.8378,-51.7065
2G3424336-0023237,2G3424336-0023237,342.4337,-0.2324,0.27,0.82,0.59,0.72,0.24,73,109,0.69,0.26,0.3,R,,1G342434-002329,G342.432-00.233,,,Simbad,254.1613,-43.5165
2G0325828+0000283,2G0325828+0000283,32.5828,0.0028,0.21,0.97,0.9,0.93,0.16,11,104,0.38,0.2,0.53,R,,1G032584+000057,G032.582+00.001,9.4,N56,Simbad,282.6978,-0.3094
2G0247356+0009368,2G0247356+0009368,24.7356,0.0937,0.54,1.48,0.89,1.22,0.27,25,57,0.8,,0.24,C,,1G024735+000889,G024.734+00.087,6.4,,Simbad,279.0179,-7.2463
2G0062114-0010549,2G0062114-0010549,6.2115,-0.1055,0.15,0.68,0.64,0.66,0.13,25,112,0.35,0.34,0.28,R,,1G006212-001048,G006.213-00.105,,CN80,Simbad,270.0317,-23.6414
2G3522351-0015251,2G3522351-0015251,352.2351,-0.1525,0.08,0.38,0.28,0.33,0.06,58,68,0.68,,0.29,C,,1G352235-001513,G352.234-00.152,,CS72,Simbad,261.6015,-35.5585
2G3549361+0033129,2G3549361+0033129,354.9362,0.3313,0.13,0.44,0.38,0.41,0.23,6,93,0.51,0.24,0.12,R,,1G354937+003314,G354.936+00.330,,CS40,Simbad,262.9223,-33.0406
2G0394864-0041037,2G0394864-0041037,39.4864,-0.4104,0.14,0.5,0.43,0.47,0.16,45,103,0.5,0.17,0.26,R,,1G039487-004100,G039.485-00.413,,,Simbad,286.2251,5.6425
2G0303803-0010861,2G0303803-0010861,30.3803,-0.1086,0.23,0.45,0.36,0.41,0.14,31,102,0.61,0.09,0.08,C,,1G030381-001074,G030.380-00.110,6.2,,Simbad,281.7921,-2.3203
2G3546822+0047269,2G3546822+0047269,354.6823,0.4727,0.38,1.44,1.22,1.33,0.4,30,85,0.54,0.5,0.53,R,,1G354683+004723,G354.685+00.469,,CS44,Simbad,262.6148,-33.1752
2G0125943-0008909,2G0125943-0008909,12.5943,-0.0891,0.07,0.24,0.16,0.21,0.04,3,94,0.76,0.35,0.15,R,,,G012.594-00.089,,,Simbad,273.3486,-18.0608
2G3526113+0017780,2G3526113+0017780,352.6114,0.1778,0.15,0.55,0.48,0.51,0.19,20,85,0.49,0.46,0.44,R,,1G352611+001775,G352.611+00.176,,CS69,Simbad,261.5236,-35.0619
2G3441057-0066680,2G3441057-0066680,344.1057,-0.6668,0.69,1.42,1.16,1.29,0.59,55,93,0.57,0.27,0.39,R,,1G344104-006669,G344.103-00.671,,,Simbad,256.0377,-42.4673
2G0507852+0016818,2G0507852+0016818,50.7852,0.1682,0.1,0.46,0.34,0.41,0.15,53,95,0.67,0.26,0.4,R,,1G050785+001683,G050.785+00.167,5.4,N106,Simbad,291.0607,15.9138
2G3139759+0013668,2G3139759+0013668,313.9759,0.1367,0.15,0.69,0.6,0.64,0.16,76,102,0.49,0.18,0.22,R,,1G313976+001373,G313.977+00.137,,S119,Simbad,215.9342,-60.7406
2G0227616-0048226,2G0227616-0048226,22.7617,-0.4823,0.08,1.15,0.9,1.03,0.08,16,62,0.62,,0.19,C,,1G022756-004827,G022.761-00.492,4.8,,Simbad,278.6166,-9.2638
