,MWP,GLON,GLAT,Disp,MajAxis,MinAxis,Reff,e_Reff,theta,e_theta,Ecc,HR2,HR3,RelFlag,HierFlag,IDDR1,IDA14,Dist,IDCW,Simbad,_RA.icrs,_DE.icrs
2G3109998-0035807,2G3109998-0035807,310.9998,-0.3581,0.4,0.99,0.62,0.82,0.23,65,66,0.78,,0.21,C,,1G311004-003548,G311.003-00.355,14.5,,Simbad,210.3305,-62.1302
2G3237559-0004673,2G3237559-0004673,323.7559,-0.0467,0.2,0.48,0.31,0.4,0.11,21,65,0.75,0.13,0.17,R,,,G323.756-00.049,,,Simbad,232.7395,-56.3277
2G3148549-0020761,2G3148549-0020761,314.8549,-0.2076,0.29,0.53,0.41,0.47,0.19,10,111,0.64,0.13,0.11,R,,1G314856-002083,G314.858-00.210,,,Simbad,217.8657,-60.7427
2G3434857+0004587,2G3434857+0004587,343.4857,0.0459,0.03,0.4,0.28,0.34,0.03,131,6,0.71,,0.21,C,,1G343484+000450,G343.484+00.044,,,Simbad,254.7585,-42.5197
2G3517680+0010100,2G3517680+0010100,351.768,0.101,0.36,0.93,0.63,0.79,0.28,154,118,0.74,0.23,0.25,R,,1G351768+001015,G351.767+00.103,,CS77,Simbad,261.0205,-35.8029
2G0289336-0058848,2G0289336-0058848,28.9336,-0.5885,0.74,2.64,2.45,2.55,0.44,15,113,0.37,0.08,0.13,R,P,1G028934-005833,G028.951-00.594,,,Simbad,281.5586,-3.8266
2G0314022-0026952,2G0314022-0026952,31.4022,-0.2695,0.41,0.68,0.47,0.58,0.24,173,144,0.73,0.15,0.33,R,,1G031403-002638,G031.403-00.268,9.1,,Simbad,282.4017,-1.4843
2G3033094-0052293,2G3033094-0052293,303.3095,-0.5229,0.12,0.73,0.57,0.65,0.1,75,69,0.62,,0.26,C,,1G303307-005265,G303.310-00.524,,,Simbad,193.7025,-63.3922
2G3114233+0060325,2G3114233+0060325,311.4234,0.6033,0.31,0.67,0.44,0.57,0.22,171,76,0.75,0.09,0.13,R,,1G311423+006015,G311.425+00.598,,,Simbad,210.6435,-61.0902
2G3167817+0015930,2G3167817+0015930,316.7817,0.1593,0.31,0.54,0.31,0.44,0.19,61,157,0.81,0.13,0.24,R,,1G316781+001588,G316.780+00.159,,,Simbad,221.1256,-59.6372
2G0300078-0007714,2G0300078-0007714,30.0078,-0.0771,0.32,1.04,0.71,0.89,0.19,55,85,0.73,,0.14,C,,1G030008-000800,G030.007-00.084,,,Simbad,281.5939,-2.6374
2G3260524-0043849,2G3260524-0043849,326.0524,-0.4385,1.23,6.24,3.91,5.21,0.81,10,93,0.78,0.04,0.08,C,,,G326.036-00.497,,,Simbad,236.445,-55.2826
2G0163150-0074683,2G0163150-0074683,16.315,-0.7468,0.16,0.34,0.25,0.3,0.13,33,75,0.67,0.19,0.16,R,,1G016314-007465,G016.314-00.748,,,Simbad,275.7923,-15.0957
2G0280220-0003544,2G0280220-0003544,28.0221,-0.0355,0.32,2.1,1.74,1.93,0.24,53,59,0.56,,0.24,C,P,1G028028-000333,G028.022-00.043,9.0,N47,Simbad,280.648,-4.3848
2G3391094+0015411,2G3391094+0015411,339.1094,0.1541,0.32,0.65,0.59,0.62,0.24,30,100,0.4,0.06,0.13,R,,1G339108+001531,G339.106+00.152,5.0,,Simbad,250.7474,-45.8207
2G0279816+0007400,2G0279816+0007400,27.9816,0.074,0.18,0.71,0.62,0.67,0.14,28,100,0.5,0.19,0.13,R,,1G027981+000753,G027.980+00.080,10.3,,Simbad,280.5318,-4.3707
2G0241525-0001218,2G0241525-0001218,24.1526,-0.0122,0.4,0.32,0.2,0.27,0.12,3,56,0.79,0.15,0.12,R,,,G024.153-00.011,,,Simbad,278.8422,-7.8127
2G3397028+0031446,2G3397028+0031446,339.7029,0.3145,0.24,0.64,0.41,0.54,0.14,26,70,0.76,0.05,0.18,R,,,,,,Simbad,251.1297,-45.2673
2G3331495-0003068,2G3331495-0003068,333.1496,-0.0307,0.11,0.38,0.26,0.33,0.1,39,54,0.71,0.12,0.11,C,,,,,,Simbad,244.8357,-50.2911
2G3374887-0053431,2G3374887-0053431,337.4887,-0.5343,0.16,0.71,0.56,0.64,0.14,49,80,0.63,0.24,0.3,R,,1G337488-005347,G337.487-00.534,,S38,Simbad,249.9396,-47.492
2G0065762-0008550,2G0065762-0008550,6.5763,-0.0855,0.09,0.42,0.37,0.4,0.07,53,98,0.47,0.14,0.23,R,,1G006576-000836,G006.575-00.086,,CN83,Simbad,270.2102,-23.3148
2G0238417+0009811,2G0238417+0009811,23.8418,0.0981,0.12,0.64,0.56,0.6,0.08,7,96,0.49,0.16,0.23,R,,1G023842+000976,G023.840+00.099,,N31,Simbad,278.5989,-8.0378
2G3138097+0013360,2G3138097+0013360,313.8098,0.1336,0.33,1.95,1.6,1.78,0.31,56,96,0.57,0.19,0.58,R,,1G313809+001340,G313.806+00.134,,S120,Simbad,215.6173,-60.801
2G0133453-0032477,2G0133453-0032477,13.3453,-0.3248,0.18,0.56,0.33,0.46,0.13,12,110,0.8,0.15,0.14,R,,1G013345-003219,G013.342-00.323,,,Simbad,273.9428,-17.5136
2G0164186-0036962,2G0164186-0036962,16.4187,-0.3696,0.11,0.26,0.23,0.25,0.11,156,84,0.52,0.18,0.22,R,,1G016420-003700,G016.419-00.371,,,Simbad,275.4979,-14.8271
2G0310369+0044458,2G0310369+0044458,31.0369,0.4446,0.24,0.79,0.58,0.69,0.12,171,97,0.69,0.15,0.28,R,,1G031037+004491,G031.034+00.449,12.7,,Simbad,281.5994,-1.4836
2G0489516-0042805,2G0489516-0042805,48.9517,-0.428,1.24,6.36,4.18,5.38,0.54,14,61,0.75,,0.15,C,,,,,,Simbad,290.7076,14.0162
2G3105608-0019244,2G3105608-0019244,310.5609,-0.1925,0.07,0.28,0.24,0.26,0.05,7,89,0.51,0.15,0.19,R,,1G310561-001926,G310.560-00.194,,,Simbad,209.3325,-62.0843
2G3118461-0026176,2G3118461-0026176,311.8462,-0.2618,0.26,0.55,0.42,0.49,0.17,41,140,0.65,0.08,0.1,C,,,G311.843-00.261,,,Simbad,212.0023,-61.8011
2G0377507+0056100,2G0377507+0056100,37.7508,0.561,0.64,0.71,0.57,0.64,0.32,72,63,0.6,0.13,0.15,R,,1G037754+005577,G037.754+00.560,12.2,,Simbad,284.5604,4.5441
2G0304632-0018842,2G0304632-0018842,30.4633,-0.1884,0.21,0.52,0.43,0.47,0.13,18,90,0.57,0.11,0.21,R,,1G030465-001883,G030.463-00.191,,,Simbad,281.9011,-2.2829
2G0240736+0013797,2G0240736+0013797,24.0737,0.138,0.12,0.42,0.38,0.4,0.1,173,51,0.43,0.15,0.1,R,,1G024073+001379,G024.072+00.139,,,Simbad,278.671,-7.8136
2G0082813-0013731,2G0082813-0013731,8.2813,-0.1373,0.18,0.92,0.57,0.77,0.15,102,65,0.78,,0.25,C,,1G008282-001351,G008.281-00.133,,,Simbad,271.1696,-21.857
2G0229126-0005123,2G0229126-0005123,22.9126,-0.0512,0.46,1.45,1.01,1.25,0.37,1,82,0.72,,0.15,C,,,G022.907-00.048,,,Simbad,278.2996,-8.9312
2G0486426+0025088,2G0486426+0025088,48.6426,0.2509,0.66,2.19,1.66,1.94,0.54,44,85,0.65,0.21,0.33,R,,1G048643+002474,G048.630+00.230,10.7,,Simbad,289.9402,14.0628
2G0071750+0008662,2G0071750+0008662,7.1751,0.0866,0.06,0.52,0.49,0.51,0.06,53,51,0.32,,0.18,C,,1G007177+000858,G007.176+00.087,,,Simbad,270.3701,-22.7094
2G3004279-0018129,2G3004279-0018129,300.4279,-0.1813,0.14,0.49,0.32,0.41,0.06,45,88,0.75,,0.14,C,,1G300428-001807,G300.427-00.180,,S171,Simbad,187.3474,-62.9458
2G3114956-0039164,2G3114956-0039164,311.4957,-0.3916,0.68,1.6,1.2,1.41,0.37,14,62,0.66,,0.13,C,,1G311497-003942,G311.484-00.396,,,Simbad,211.3684,-62.0261
2G0121931-0012722,2G0121931-0012722,12.1931,-0.1272,0.07,0.45,0.32,0.39,0.05,38,27,0.7,,0.24,C,,1G012197-001292,G012.194-00.129,,,Simbad,273.1812,-18.4311
2G3454989+0030784,2G3454989+0030784,345.499,0.3079,0.29,0.62,0.43,0.53,0.18,33,58,0.71,0.11,0.15,R,,1G345496+003070,G345.493+00.303,13.9,,Simbad,256.1333,-40.7685
2G0396684-0016009,2G0396684-0016009,39.6685,-0.1601,0.28,0.41,0.32,0.37,0.09,164,42,0.63,0.06,0.1,C,,1G039668-001591,G039.667-00.158,,,Simbad,286.0856,5.9192
2G0195917+0002528,2G0195917+0002528,19.5917,0.0253,0.06,0.39,0.34,0.37,0.04,37,35,0.5,,0.12,C,,1G019593+000262,G019.594+00.024,,,Simbad,276.6653,-11.8382
2G0321571+0012741,2G0321571+0012741,32.1571,0.1274,0.21,0.6,0.4,0.51,0.14,120,112,0.74,0.13,0.16,R,,1G032158+001306,G032.152+00.131,6.1,,Simbad,282.3928,-0.6315
2G0211405-0030450,2G0211405-0030450,21.1405,-0.3045,0.09,0.34,0.21,0.28,0.06,71,111,0.78,0.12,0.17,R,,1G021140-003042,G021.137-00.307,13.0,,Simbad,277.6964,-10.6197
2G0445027+0033495,2G0445027+0033495,44.5028,0.335,0.19,0.79,0.69,0.74,0.12,53,79,0.47,,0.2,C,,1G044503+003373,G044.501+00.332,16.6,,Simbad,287.8912,10.4383
2G3543559+0014454,2G3543559+0014454,354.356,0.1446,0.05,0.23,0.19,0.21,0.04,1,20,0.56,,0.21,C,,,G354.354+00.144,,,Simbad,262.7282,-33.6281
2G0287921+0024758,2G0287921+0024758,28.7922,0.2476,0.61,0.66,0.37,0.54,0.27,6,48,0.83,0.1,0.14,R,D,,G028.788+00.241,7.4,,Simbad,280.7486,-3.5705
2G3444274+0003999,2G3444274+0003999,344.4275,0.04,0.81,0.8,0.6,0.7,0.41,58,100,0.66,0.07,0.09,C,,1G344427+000424,G344.424+00.044,5.0,,Simbad,255.547,-41.7813
2G3375111-0054715,2G3375111-0054715,337.5112,-0.5472,0.48,1.72,1.27,1.51,0.3,65,82,0.67,,0.32,C,,1G337511-005455,G337.515-00.543,,,Simbad,249.976,-47.4837
2G0369912-0022785,2G0369912-0022785,36.9913,-0.2278,0.48,0.53,0.41,0.47,0.14,61,95,0.64,0.08,0.12,C,D,1G036992-002298,G036.993-00.231,6.8,,Simbad,284.916,3.5081
2G0188463-0047658,2G0188463-0047658,18.8464,-0.4766,0.24,0.87,0.72,0.8,0.17,42,128,0.57,0.17,0.16,R,D,1G018848-004761,G018.851-00.482,,,Simbad,276.7645,-12.7315
2G0042800+0003274,2G0042800+0003274,4.2801,0.0328,0.09,0.44,0.35,0.4,0.06,15,55,0.62,,0.21,C,D,,G004.283+00.031,,CN54 CN55,Simbad,268.838,-25.2441
2G0368731+0050544,2G0368731+0050544,36.8732,0.5054,0.05,0.24,0.2,0.22,0.03,175,92,0.55,,0.23,C,,,,,,Simbad,284.2084,3.7379
2G3398443+0030692,2G3398443+0030692,339.8443,0.3069,0.19,0.78,0.68,0.74,0.2,174,104,0.49,0.37,0.26,R,,1G339846+003050,G339.845+00.299,14.2,S28,Simbad,251.2689,-45.1651
2G3460548-0002179,2G3460548-0002179,346.0549,-0.0218,0.05,0.36,0.24,0.31,0.03,5,85,0.76,,0.35,C,,1G346051-000216,G346.056-00.020,,,Simbad,256.9218,-40.5239
2G0174750+0012589,2G0174750+0012589,17.475,0.1259,0.14,0.59,0.52,0.56,0.1,6,102,0.46,0.12,0.44,R,,1G017476+001267,G017.475+00.128,,,Simbad,275.5588,-13.6619
2G2984189-0074541,2G2984189-0074541,298.419,-0.7454,0.22,1.49,0.99,1.26,0.13,23,73,0.75,,0.21,C,,1G298419-007416,G298.416-00.743,,S178 S180,Simbad,182.7877,-63.2636
2G0329871-0033588,2G0329871-0033588,32.9872,-0.3359,0.36,1.71,1.36,1.55,0.28,3,139,0.61,0.17,0.39,R,,1G032985-003351,G032.982-00.338,11.0,,Simbad,283.1836,-0.104
2G3375306-0030245,2G3375306-0030245,337.5307,-0.3025,0.57,1.5,1.09,1.31,0.35,14,104,0.69,,0.25,C,,1G337529-002977,,,,Simbad,249.7253,-47.3063
2G3114758+0009813,2G3114758+0009813,311.4759,0.0981,0.5,1.05,0.75,0.91,0.26,178,124,0.7,0.11,0.12,C,,1G311466+000989,G311.471+00.106,,,Simbad,211.0379,-61.5615
2G3324526-0017844,2G3324526-0017844,332.4527,-0.1784,0.13,0.57,0.4,0.49,0.1,5,62,0.71,,0.19,C,,1G332452-001779,G332.450-00.177,,,Simbad,244.2121,-50.8834
2G0298547-0024578,2G0298547-0024578,29.8547,-0.2458,0.13,0.47,0.31,0.4,0.17,74,50,0.76,0.15,0.21,R,,1G029856-002453,G029.854-00.245,,,Simbad,281.6742,-2.8506
2G0528963-0088045,2G0528963-0088045,52.8964,-0.8804,0.33,0.33,0.27,0.3,0.15,169,87,0.57,0.11,0.11,C,,1G052896-008829,G052.895-00.878,,,Simbad,293.0743,17.2675
2G3570305-0011028,2G3570305-0011028,357.0305,-0.1103,0.03,0.22,0.2,0.21,0.02,23,73,0.32,,0.28,C,,,,,,Simbad,264.7011,-31.5175
2G0305460+0002501,2G0305460+0002501,30.546,0.025,0.11,0.34,0.24,0.3,0.06,165,52,0.7,,0.17,C,,,G030.545+00.027,11.4,,Simbad,281.7488,-2.1119
2G0105747-0041278,2G0105747-0041278,10.5747,-0.4128,0.38,1.6,1.18,1.4,0.26,58,77,0.68,,0.16,C,,1G010580-004124,G010.574-00.412,,,Simbad,272.6216,-19.9872
2G0485512+0000044,2G0485512+0000044,48.5512,0.0004,0.21,0.53,0.45,0.5,0.09,1,107,0.53,0.11,0.28,R,,1G048551+000022,G048.547-00.005,9.9,,Simbad,290.1239,13.8645
2G0350375-0049166,2G0350375-0049166,35.0375,-0.4917,0.2,0.94,0.78,0.86,0.09,11,73,0.56,,0.29,C,,1G035038-004913,G035.040-00.500,10.7,,Simbad,284.2577,1.6495
2G0461636-0010325,2G0461636-0010325,46.1636,-0.1033,0.17,0.31,0.26,0.29,0.11,178,40,0.56,,0.17,C,,,G046.162-00.104,,,Simbad,289.0725,11.7058
2G0423966-0034979,2G0423966-0034979,42.3966,-0.3498,0.1,0.35,0.26,0.31,0.13,166,131,0.67,0.22,0.21,R,,1G042397-003501,G042.396-00.350,,,Simbad,287.5202,8.2541
2G3241882+0011863,2G3241882+0011863,324.1883,0.1186,0.45,1.92,1.5,1.72,0.33,47,32,0.63,,0.14,C,,,G324.201+00.117,6.9,,Simbad,233.2052,-55.9444
2G0020120-0068213,2G0020120-0068213,2.012,-0.6821,0.12,0.53,0.47,0.5,0.14,26,84,0.44,0.44,0.23,R,,1G002011-006818,G002.009-00.680,,CN28,Simbad,268.2442,-27.5619
2G0074702+0005828,2G0074702+0005828,7.4703,0.0583,0.19,0.39,0.28,0.34,0.08,33,58,0.69,,0.14,C,,1G007471+000587,G007.470+00.059,,CN103 CN102,Simbad,270.5548,-22.4668
2G3412053-0022976,2G3412053-0022976,341.2053,-0.2298,0.12,0.43,0.37,0.4,0.1,63,91,0.51,0.25,0.34,R,,1G341206-002303,G341.207-00.232,3.5,S24,Simbad,253.0828,-44.4688
2G0299513-0008963,2G0299513-0008963,29.9514,-0.0896,0.28,1.79,1.44,1.63,0.16,167,101,0.6,,0.13,C,,,G029.955-00.093,,,Simbad,281.5792,-2.6933
2G0602328-0044417,2G0602328-0044417,60.2329,-0.4442,0.44,0.89,0.62,0.77,0.37,20,160,0.72,0.07,0.1,C,,1G060233-004473,G060.235-00.446,,,Simbad,296.5244,23.8697
2G3241487+0023397,2G3241487+0023397,324.1487,0.234,1.77,3.15,2.33,2.77,0.94,60,119,0.67,0.08,0.5,R,,,G324.135+00.236,6.9,,Simbad,233.029,-55.8727
2G3489204-0000072,2G3489204-0000072,348.9204,-0.0007,0.08,0.32,0.29,0.31,0.05,59,95,0.44,,0.16,C,,1G348920-000020,G348.919+00.001,,,Simbad,259.086,-38.1973
2G0346145-0001621,2G0346145-0001621,34.6145,-0.0162,0.09,0.66,0.41,0.55,0.04,150,58,0.78,,0.2,C,,,G034.614-00.016,,,Simbad,283.6413,1.49
2G0026995-0005662,2G0026995-0005662,2.6995,-0.0566,0.19,0.3,0.25,0.28,0.13,176,78,0.54,0.06,0.13,R,,,,,,Simbad,268.0324,-26.6518
2G3532012-0011220,2G3532012-0011220,353.2013,-0.1122,0.07,0.26,0.2,0.23,0.07,160,57,0.63,,0.22,C,,1G353201-001150,G353.202-00.113,,,Simbad,262.2176,-34.733
2G0072651-0006132,2G0072651-0006132,7.2652,-0.0613,0.98,1.27,0.97,1.13,0.49,12,73,0.64,0.1,0.16,R,,1G007270-000552,G007.268-00.060,,CN96,Simbad,270.5577,-22.7042
2G3386316+0014440,2G3386316+0014440,338.6316,0.1444,0.16,0.52,0.47,0.5,0.14,176,118,0.44,0.1,0.16,R,,,G338.628+00.145,,,Simbad,250.3045,-46.1864
2G0356866-0085474,2G0356866-0085474,35.6867,-0.8547,1.49,1.64,0.92,1.33,0.51,174,85,0.83,0.11,0.21,R,,1G035693-008509,G035.687-00.847,,,Simbad,284.8774,2.0612
2G0290024+0009815,2G0290024+0009815,29.0024,0.0982,0.63,1.72,1.35,1.54,0.4,7,120,0.62,0.27,0.43,R,,1G029002+000971,G029.000+00.084,10.6,N50,Simbad,280.9779,-3.4518
2G0240953+0045507,2G0240953+0045507,24.0953,0.4551,0.2,0.73,0.66,0.7,0.18,48,91,0.42,0.21,0.16,R,,1G024095+004551,G024.093+00.455,5.6,,Simbad,278.397,-7.6483
2G3224864-0054978,2G3224864-0054978,322.4864,-0.5498,0.06,0.25,0.2,0.23,0.04,53,51,0.58,,0.39,C,,,G322.487-00.552,,,Simbad,231.3353,-57.4576
2G0041088+0002349,2G0041088+0002349,4.1089,0.0235,0.16,0.75,0.51,0.64,0.13,1,104,0.73,0.36,0.28,R,,1G004109+000256,G004.108+00.022,,CN52,Simbad,268.7513,-25.3966
2G0438195+0040230,2G0438195+0040230,43.8195,0.4023,0.28,0.93,0.69,0.82,0.18,22,84,0.68,0.04,0.27,R,,1G043829+003957,G043.818+00.395,13.3,,Simbad,287.5098,9.8635
2G0415138-0013459,2G0415138-0013459,41.5139,-0.1346,0.16,0.6,0.41,0.51,0.16,38,133,0.73,0.2,0.46,R,,1G041515-001341,G041.516-00.142,8.7,,Simbad,286.9166,7.5699
2G3057281-0023441,2G3057281-0023441,305.7281,-0.2344,0.09,0.27,0.22,0.24,0.08,164,85,0.58,0.09,0.15,R,,,G305.728-00.235,,,Simbad,199.0221,-62.9722
2G3216724-0004111,2G3216724-0004111,321.6724,-0.0411,0.15,0.5,0.42,0.46,0.13,49,100,0.52,0.22,0.25,R,,1G321673-000427,G321.670-00.043,,S88,Simbad,229.5507,-57.4722
2G3281650-0020348,2G3281650-0020348,328.1651,-0.2035,0.08,0.25,0.16,0.21,0.04,126,57,0.77,,0.18,C,,,G328.168-00.203,,,Simbad,239.0243,-53.7728
2G0311610-0010923,2G0311610-0010923,31.1611,-0.1092,0.87,2.61,1.84,2.26,0.4,61,62,0.71,0.05,0.16,R,P,1G031160-000930,G031.165-00.105,11.7,N53,Simbad,282.149,-1.6258
2G3516810+0061552,2G3516810+0061552,351.681,0.6155,0.27,1.3,1.02,1.17,0.2,57,76,0.63,,0.23,C,,1G351681+006163,G351.676+00.610,,,Simbad,260.4376,-35.5835
2G2987324-0041164,2G2987324-0041164,298.7324,-0.4116,0.94,5.46,4.44,4.98,0.94,39,134,0.58,0.09,0.54,R,,1G298732-004173,,,S177,Simbad,183.5835,-62.9804
2G3525940-0019789,2G3525940-0019789,352.594,-0.1979,0.27,1.36,0.9,1.15,0.26,34,14,0.75,,0.13,C,,1G352598-001860,,,,Simbad,261.8932,-35.2858
2G3201502+0087251,2G3201502+0087251,320.1503,0.8725,0.16,0.62,0.41,0.53,0.11,88,130,0.75,0.08,0.2,R,,,G320.148+00.873,,,Simbad,226.2494,-57.4647
2G0314306+0028843,2G0314306+0028843,31.4306,0.2884,0.16,0.51,0.44,0.48,0.11,54,97,0.51,0.11,0.39,R,,1G031431+002886,G031.431+00.289,,,Simbad,281.9181,-1.2046
2G0430966-0003995,2G0430966-0003995,43.0966,-0.04,0.1,0.3,0.27,0.28,0.09,146,84,0.45,0.07,0.2,R,,1G043097-000386,G043.094-00.041,12.4,N86,Simbad,287.5692,9.018
2G3124424+0050209,2G3124424+0050209,312.4425,0.5021,0.17,0.61,0.34,0.5,0.16,113,154,0.82,0.17,0.17,R,,1G312442+005041,G312.438+00.507,,,Simbad,212.7164,-60.8945
2G3408862-0036150,2G3408862-0036150,340.8862,-0.3615,0.06,0.4,0.23,0.33,0.04,102,45,0.81,,0.17,C,,1G340886-003596,G340.884-00.365,,,Simbad,252.9406,-44.7989
2G0063658-0005788,2G0063658-0005788,6.3659,-0.0579,0.12,0.37,0.25,0.32,0.13,131,103,0.74,0.14,0.15,R,,1G006365-000535,G006.365-00.056,,CN82,Simbad,270.0703,-23.4837
2G3384661-0026755,2G3384661-0026755,338.4662,-0.2676,0.36,1.16,0.81,1.0,0.21,64,70,0.72,,0.23,C,,1G338464-002637,G338.462-00.262,,,Simbad,250.595,-46.5826
2G0146725-0047260,2G0146725-0047260,14.6726,-0.4726,0.55,3.93,2.69,3.36,0.28,43,75,0.73,,0.25,C,,1G014666-004741,G014.667-00.477,13.5,,Simbad,274.7375,-16.4155
2G3199379-0049672,2G3199379-0049672,319.938,-0.4967,0.19,0.74,0.66,0.7,0.18,18,104,0.44,0.15,0.12,R,,1G319937-004952,G319.940-00.505,,,Simbad,227.1856,-58.759
2G0268218+0038223,2G0268218+0038223,26.8218,0.3822,0.27,1.23,1.0,1.12,0.26,26,66,0.58,0.18,0.51,R,,1G026822+003828,G026.824+00.380,,N44,Simbad,279.7238,-5.2606
2G3282229-0057776,2G3282229-0057776,328.2229,-0.5778,0.17,0.92,0.85,0.88,0.16,26,129,0.39,0.2,0.34,R,,1G328220-005795,G328.224-00.582,,,Simbad,239.5088,-54.0217
2G0283231+0015445,2G0283231+0015445,28.3232,0.1545,0.21,0.92,0.84,0.88,0.16,7,95,0.42,0.21,0.32,R,,1G028323+001544,G028.323+00.152,,N48,Simbad,280.6166,-4.0301
2G3274006+0047074,2G3274006+0047074,327.4006,0.4707,1.18,1.3,0.99,1.15,0.73,30,123,0.65,0.1,0.18,R,,1G327399+004767,G327.401+00.483,,,Simbad,237.3015,-53.7343
2G0314171-0014307,2G0314171-0014307,31.4171,-0.1431,0.08,0.75,0.47,0.63,0.08,101,62,0.78,,0.21,C,,1G031420-001412,G031.416-00.142,,,Simbad,282.296,-1.4134
2G0245081-0022374,2G0245081-0022374,24.5081,-0.2237,0.19,0.39,0.28,0.34,0.09,168,89,0.67,,0.26,C,D,1G024508-002248,,,,Simbad,279.1967,-7.5943
2G3574842-0003150,2G3574842-0003150,357.4843,-0.0315,0.12,0.37,0.24,0.31,0.12,28,83,0.77,0.16,0.13,R,,,G357.484-00.037,,CS21,Simbad,264.9061,-31.0915
2G0123093+0042528,2G0123093+0042528,12.3094,0.4253,0.16,0.91,0.62,0.78,0.09,143,164,0.72,,0.24,C,,1G012311+004242,G012.302+00.416,,,Simbad,272.7301,-18.0634
2G0194802+0015692,2G0194802+0015692,19.4802,0.1569,0.18,0.5,0.4,0.45,0.13,52,84,0.61,0.11,0.21,R,,1G019480+001567,G019.480+00.155,14.1,,Simbad,276.4932,-11.8754
2G0099995-0079013,2G0099995-0079013,9.9996,-0.7901,0.17,0.32,0.25,0.29,0.11,108,134,0.61,0.1,0.09,C,,,,,,Simbad,272.6782,-20.6729
2G3055992+0029669,2G3055992+0029669,305.5993,0.2967,2.39,6.07,4.84,5.49,1.55,16,141,0.6,0.14,0.14,R,P,,,,S150,Simbad,198.6352,-62.4553
2G0491616-0021224,2G0491616-0021224,49.1617,-0.2122,0.18,0.68,0.52,0.61,0.14,42,95,0.65,0.15,0.26,R,,1G049164-002111,G049.163-00.213,5.6,,Simbad,290.6135,14.3032
2G0493526-0041623,2G0493526-0041623,49.3526,-0.4162,0.13,1.06,0.63,0.87,0.06,10,42,0.81,,0.14,C,,1G049353-004169,G049.354-00.419,,,Simbad,290.8921,14.3752
2G0307949+0019745,2G0307949+0019745,30.7949,0.1974,0.14,0.33,0.21,0.28,0.11,54,39,0.76,0.09,0.19,R,,1G030795+001978,G030.793+00.196,,,Simbad,281.7089,-1.8118
2G2984127-0053171,2G2984127-0053171,298.4128,-0.5317,0.17,0.67,0.62,0.65,0.1,36,96,0.4,0.3,0.27,R,,1G298413-005318,G298.412-00.535,,S179,Simbad,182.8476,-63.0515
2G3128887-0044288,2G3128887-0044288,312.8888,-0.4429,0.32,1.03,0.81,0.93,0.33,82,98,0.62,0.24,0.33,R,,1G312889-004452,G312.888-00.447,,S124,Simbad,214.2142,-61.6522
2G3074498-0084652,2G3074498-0084652,307.4498,-0.8465,0.04,0.25,0.22,0.24,0.12,37,93,0.52,,0.16,C,,,G307.451-00.846,,,Simbad,202.9773,-63.3627
2G3395919+0009115,2G3395919+0009115,339.592,0.0912,0.2,0.69,0.53,0.62,0.09,45,61,0.65,,0.17,C,,1G339588+000889,G339.584+00.084,,,Simbad,251.2675,-45.4971
2G0324584+0022505,2G0324584+0022505,32.4585,0.2251,0.15,0.19,0.13,0.16,0.11,134,87,0.71,0.05,0.07,C,,,G032.458+00.227,,,Simbad,282.4433,-0.3187
2G3164592-0009405,2G3164592-0009405,316.4592,-0.094,0.17,1.42,1.14,1.29,0.18,41,82,0.59,,0.3,C,,1G316457-000917,,,,Simbad,220.7542,-60.0023
2G3580910-0042864,2G3580910-0042864,358.0911,-0.4286,0.07,0.49,0.43,0.47,0.06,9,104,0.48,0.09,0.18,R,,1G358092-004291,G358.092-00.431,,CS17,Simbad,265.6733,-30.7868
2G0281601-0004556,2G0281601-0004556,28.1601,-0.0456,0.11,0.23,0.19,0.21,0.11,172,69,0.55,0.22,0.27,R,,,G028.159-00.047,,,Simbad,280.7203,-4.2667
2G3540092+0061299,2G3540092+0061299,354.0093,0.613,0.62,1.63,1.18,1.42,0.56,166,109,0.69,0.27,0.32,R,,1G354008+006116,G354.002+00.621,,CS52,Simbad,262.0292,-33.6586
2G0204830-0068946,2G0204830-0068946,20.483,-0.6895,0.07,0.47,0.32,0.4,0.04,150,76,0.73,,0.25,C,,1G020483-006905,G020.483-00.692,,,Simbad,277.7341,-11.3807
2G0332836-0033076,2G0332836-0033076,33.2836,-0.3308,0.16,0.69,0.61,0.65,0.11,43,67,0.46,0.13,0.25,R,,1G033284-003298,G033.284-00.329,,,Simbad,283.3143,0.1621
2G3572427-0011073,2G3572427-0011073,357.2427,-0.1107,0.03,0.22,0.15,0.19,0.03,76,22,0.74,,0.32,C,,,G357.242-00.111,,,Simbad,264.8341,-31.3382
2G3211588+0000557,2G3211588+0000557,321.1589,0.0056,0.19,0.92,0.71,0.82,0.12,62,95,0.63,,0.28,C,,1G321158+000052,G321.158+00.005,,,Simbad,228.6903,-57.7028
2G0131299-0014503,2G0131299-0014503,13.1299,-0.145,0.12,0.32,0.22,0.27,0.08,167,91,0.73,0.07,0.18,R,,,G013.131-00.149,12.5,,Simbad,273.6693,-17.6172
2G0164418-0021076,2G0164418-0021076,16.4419,-0.2108,0.06,0.31,0.25,0.28,0.04,43,61,0.6,,0.19,C,,1G016442-002099,G016.442-00.211,,,Simbad,275.3643,-14.732
2G0323122-0038418,2G0323122-0038418,32.3122,-0.3842,0.4,0.66,0.4,0.55,0.23,49,44,0.8,,0.13,C,,1G032309-003805,G032.312-00.388,,,Simbad,282.9188,-0.7267
