,dec_min,ra_min,dec_max,ra_max,fits_path
0,-1.0137237854356786,307.98628321326214,-1.0011987814919183,307.9986842548048,spitzer_30900+0000_rgb
0,0.24079410566497558,309.93211530643407,0.2599907200563428,309.9521220607913,spitzer_30900+0000_rgb
0,0.28905614945318847,309.97845401039774,0.30329247743582516,309.9922919822646,spitzer_30900+0000_rgb
0,-0.40880460203174557,309.3848589642504,-0.3883000449451245,309.4063312133846,spitzer_30900+0000_rgb
0,0.39160725519851075,309.8777509270949,0.4092862914800537,309.8949325675481,spitzer_30900+0000_rgb
0,-0.20208569133851806,307.61741277424255,-0.16756160314209229,307.65163835983776,spitzer_30900+0000_rgb
0,-0.615489658558645,307.8234783646298,-0.5984116151096338,307.84077100768604,spitzer_30900+0000_rgb
0,-0.3976276001903906,307.9893637796376,-0.3761284142074658,308.01110010754525,spitzer_30900+0000_rgb
0,-0.3857695273923047,308.2503016025491,-0.3702387658288623,308.26520541099376,spitzer_30900+0000_rgb
0,0.6910620048081298,308.88363688267407,0.7141451751502148,308.90719222098016,spitzer_30900+0000_rgb
0,-0.35606444956435546,308.8447153335841,-0.3331137662001123,308.86778287892633,spitzer_30900+0000_rgb
0,0.5241619413729638,308.66082096693344,0.5484339137864941,308.68406738597184,spitzer_30900+0000_rgb
0,-0.03571801722094482,308.99286311856093,-0.02298274716600586,309.00533561192583,spitzer_30900+0000_rgb
0,0.5729713484369531,308.607597660174,0.6426259701362402,308.6740639681031,spitzer_30900+0000_rgb
0,0.24590820066591795,307.45646127845623,0.2585742161642578,307.4687965647912,spitzer_30900+0000_rgb
0,-0.9960452781254846,308.2364220453962,-0.9802569075151392,308.25282520278427,spitzer_30900+0000_rgb
0,-0.8349062823410413,307.5371266422329,-0.8231714598672436,307.54909050930075,spitzer_30900+0000_rgb
0,-0.400872961486062,308.0622140393258,-0.3823413861505444,308.08143767194605,spitzer_30900+0000_rgb
0,-0.3875596478171118,307.6543593884564,-0.37177571242807617,307.669634127887,spitzer_30900+0000_rgb
0,0.5183966419514502,310.31947066958526,0.5275989530573437,310.3283342152323,spitzer_30900+0000_rgb
0,-0.09164884348455322,308.4671093803289,-0.07667765222801513,308.48212467965794,spitzer_30900+0000_rgb
0,0.34742724261947755,307.74945118438046,0.3619967411716992,307.76361003840555,spitzer_30900+0000_rgb
0,-0.9541791286418023,307.4764567209646,-0.9465553901112689,307.48410776255474,spitzer_30900+0000_rgb
0,-0.23043001071653318,309.2641007460569,-0.2160550108602832,309.27812849656766,spitzer_30900+0000_rgb
0,0.2504433568705664,307.84818230318484,0.26262825258205075,307.86016423665876,spitzer_30900+0000_rgb
0,-0.5023503367733716,308.0206136165647,-0.4929179638208203,308.02994808912763,spitzer_30900+0000_rgb
0,-0.027161864962756348,309.4864789990415,-0.012722737502980957,309.50052025866665,spitzer_30900+0000_rgb
0,0.20263769328612305,309.00800032544083,0.2176674782920752,309.0221936846739,spitzer_30900+0000_rgb
0,-0.8134029459675329,307.8589764111498,-0.8052777425982641,307.8670595816419,spitzer_30900+0000_rgb
0,-0.2595299453213672,307.6102588029599,-0.2405520809278125,307.6290696751676,spitzer_30900+0000_rgb
0,-0.2280497210267944,309.1134404285531,-0.16008341311270752,309.1781578758226,spitzer_30900+0000_rgb
0,0.008219807860510254,307.84321078630745,0.020863362421574706,307.85557634607966,spitzer_30900+0000_rgb
0,-0.3042351857597314,308.62183268607333,-0.28526448282443845,308.64007471063053,spitzer_30900+0000_rgb
0,-0.422135331065105,308.0576342867674,-0.3773223432319848,308.1016764412749,spitzer_30900+0000_rgb
0,0.39288166924826656,310.2284520547728,0.4004025025063916,310.2359945758562,spitzer_30900+0000_rgb
0,-0.9782295637854126,308.0852325937831,-0.9695809636114819,308.0940294686951,spitzer_30900+0000_rgb
0,0.16187638184477782,308.7874731466565,0.17450732247367676,308.79993571163607,spitzer_30900+0000_rgb
0,0.5347317654860156,308.08977881769596,0.5425808865012743,308.0976976001689,spitzer_30900+0000_rgb
0,0.2567389297242773,309.43097899959645,0.2697454400108789,309.44375365767183,spitzer_30900+0000_rgb
0,-0.3020577769273389,310.36846362970726,-0.29041292027295407,310.3798830835319,spitzer_30900+0000_rgb
0,-0.1213337390210376,300.4510594030415,-0.08475366126183838,300.4855469515247,spitzer_30000+0000_rgb
0,-0.299381426042644,299.7574064151864,-0.2674280572215527,299.79052181199063,spitzer_30000+0000_rgb
0,-0.3280677864328638,300.76973518110475,-0.27252896862887693,300.82729947089365,spitzer_30000+0000_rgb
0,0.09383398343666015,300.73930695875276,0.11117903534654297,300.75646573136765,spitzer_30000+0000_rgb
0,-0.18850032363583008,300.41530639233133,-0.16929809401014403,300.4349229285935,spitzer_30000+0000_rgb
0,-0.3567675745573242,300.1555943994857,-0.33384569978654294,300.1785680320685,spitzer_30000+0000_rgb
0,0.9016481029626855,300.93552875854834,0.9237423410229931,300.9565059311901,spitzer_30000+0000_rgb
0,-0.6098538350472948,299.6804383169977,-0.5871236920454297,299.7025856149533,spitzer_30000+0000_rgb
0,-0.5181557565371924,298.5004925280159,-0.49741332510399167,298.5209342595823,spitzer_30000+0000_rgb
0,0.1638146142472705,299.60283691803414,0.17575992662781736,299.6142501666179,spitzer_30000+0000_rgb
0,-0.12215201700764648,300.18348827941514,-0.1010174957346167,300.2045834126677,spitzer_30000+0000_rgb
0,0.9164579986479199,300.94517658560034,0.9369890856821923,300.96580488129246,spitzer_30000+0000_rgb
0,-0.44975194862748047,298.9801518656672,-0.430687495693125,298.99953321312967,spitzer_30000+0000_rgb
0,0.015110270031188965,299.4929943084555,0.03667399051867676,299.5139334358503,spitzer_30000+0000_rgb
0,-0.22249023215009764,300.33670076160695,-0.21010115349794678,300.3489491338803,spitzer_30000+0000_rgb
0,-0.1310087877524121,300.10089648336606,-0.06460929297369873,300.1655815413129,spitzer_30000+0000_rgb
0,0.12046435426410644,301.48402049805856,0.14179068868625977,301.5051484631386,spitzer_30000+0000_rgb
0,-0.04771329704890869,299.429274908051,-0.026398518616223145,299.4505686903901,spitzer_30000+0000_rgb
0,0.5334767199256494,301.4853000136301,0.5678160750510058,301.51895954901937,spitzer_30000+0000_rgb
0,-0.01118050119027832,299.76207926670213,0.0017389322742773436,299.7751171897488,spitzer_30000+0000_rgb
0,0.43203645401296875,301.26533541622035,0.455041824876665,301.28758022800963,spitzer_30000+0000_rgb
0,0.45717903188654296,298.89827442507976,0.5233968046618652,298.96297445698485,spitzer_30000+0000_rgb
0,-0.3068995737539209,300.77830598180026,-0.27696093473039063,300.8081057048096,spitzer_30000+0000_rgb
0,-0.5816323184024267,298.7895595824169,-0.5483789007662109,298.8227897253138,spitzer_30000+0000_rgb
